# SPDX-FileCopyrightText: 2026 The Oxys-OS Authors
# SPDX-License-Identifier: CC0-1.0
#
# The build register. One row per image produced; the schema and the reasoning
# are docs/project/BUILDS.md, and tools/builds.sh is what writes and validates
# it.
#
# It holds no rows. Every one of the twelve it held was removed at the project
# owner's direction on 2026-09-13, together with every archived image, and
# nothing is recorded here again until `Oxys 1 Alpha` — which docs/project/PLAN.md
# fixes at sub-task 8.7. The machinery is untouched: `make build-record` still
# works and would append row 1 the moment it is run.
#
# **Numbering restarts at 1**, by the owner's decision. A number issued before
# the clearing and a number issued after it are therefore different images, and
# what tells them apart is the date in the row — not the number. Every document
# that cited a number as a way of pointing at an image has stopped doing so;
# docs/project/TESTING-RECORD.md, which is an account of runs and is not edited
# after the fact, says so at its head.
number	date	commit	dirty	compiler	cc_version	kernel	iso	result	assertions	environments	sha256	note
1	2026-09-17T01:34Z	6bcb5fd	no	gcc	13.2.0	3060288	10287104	passed	66	QEMU;VirtualBox	66c6198326b03549041d8dd9d2b4ca5352ef462309ee83c065968e646424886c	Oxys 1 Alpha: the release image, cut at the close of Phase 8; booted under QEMU by make verify and under VirtualBox at the keyboard
2	2026-09-17T01:38Z	ee505ef	no	gcc	13.2.0	3060288	10287104	passed	66		-	The register's policy: every build recorded from now on; the image this documentation change was verified with
3	2026-09-21T22:51Z	4c51c4f	yes	gcc	13.2.0	3354208	10582016	passed	71		-	The appearance of 2026-09-21 and the terminal livelock fixed with it, from a working tree in progress. The note was written by a mistyped `record --help`, which the script took for a note; it is corrected and the row kept, the image and its verdict being real.
4	2026-09-21T23:00Z	3a98088	no	gcc	13.2.0	3354208	10582016	passed	71		-	The shell taken out of the launcher; the first image whose launcher offers only what has a window
5	2026-09-21T23:15Z	3a1d910	no	gcc	13.2.0	3354208	10582016	passed	71		-	The desktop drawing its accent from art/palette.h, named from /etc/desktop.conf by the word system
6	2026-09-21T23:26Z	b1f1f65	no	gcc	13.2.0	3354208	10582016	passed	71		-	The demonstration's window drawing the mark of art/logo.h, and the archive check reporting rather than failing where the archive is not
7	2026-09-21T23:57Z	bb2e6de	no	gcc	13.2.0	3354936	10584064	passed	71		-	The screen handed back to the console before the reason is written, and cleared when it is
8	2026-09-22T22:17Z	182a724	no	gcc	13.2.0	3438440	10665984	passed	72		-	Sub-task 9.6: the terminal emulator, the poll it waits in, and the tcgroup refusal
9	2026-09-23T00:27Z	e8bb681	no	gcc	13.2.0	3438440	10665984	passed	72		-	The terminal white upon black, and the fg that continued nothing
10	2026-09-23T02:06Z	74b8443	no	gcc	13.2.0	3459392	10688512	passed	73		-	Icons for the launcher, read from files rather than compiled in
